"","truth","prediction"
"1",1,0.556851705652662
"2",1,0.81114970240742
"3",1,0.804637366440147
"4",1,0.811689720838331
"5",1,0.930457691778429
"6",1,0.820155302644707
"7",1,0.504747878178023
"8",1,0.616275253007188
"9",1,0.833041879115626
"10",1,0.757125570671633
"11",1,0.846795645891689
"12",1,0.772487417794764
"13",1,0.641366791795008
"14",1,0.961716742138378
"15",1,0.646157920127735
"16",1,0.918647814076394
"17",1,0.643111642333679
"18",1,0.63341039000079
"19",1,0.593361394829117
"20",1,0.616112955263816
"21",1,0.658306227414869
"22",1,0.651346685364842
"23",1,0.579523001448251
"24",1,0.519997959025204
"25",1,0.609399770502932
"26",1,0.905299276229925
"27",1,0.762848773389123
"28",1,0.957329083001241
"29",1,0.915672523435205
"30",1,0.522885131649673
"31",1,0.728045741212554
"32",1,0.632593335933052
"33",1,0.652336101513356
"34",1,0.75365343503654
"35",1,0.590548104140908
"36",1,0.879835317726247
"37",1,0.600624018814415
"38",1,0.629404909326695
"39",1,0.996075208764523
"40",1,0.903676170157269
"41",1,0.776666795369238
"42",1,0.823203047038987
"43",1,0.655912153539248
"44",1,0.810909599065781
"45",1,0.664885087870061
"46",1,0.750998736475594
"47",1,0.838547263643704
"48",1,0.742495619575493
"49",1,0.621964413672686
"50",1,0.882729893783107
"51",1,0.536889940034598
"52",1,0.654843300930224
"53",1,0.85863587167114
"54",1,0.752272956073284
"55",1,0.576499479473568
"56",1,0.751966744079255
"57",1,0.746980461524799
"58",1,0.875600098515861
"59",1,0.587324911961332
"60",1,0.924196205218323
"61",1,0.93241691600997
"62",1,0.520928637590259
"63",1,0.658591077663004
"64",1,0.506874969578348
"65",1,0.619512863340788
"66",1,0.853247308637947
"67",1,0.654047378571704
"68",1,0.754273782833479
"69",1,0.52582330966834
"70",1,0.782284919987433
"71",1,0.560740093584172
"72",1,0.946418190840632
"73",1,0.507313627866097
"74",1,0.891560551826842
"75",1,0.544980666483752
"76",1,0.759594990406185
"77",1,0.692133343778551
"78",1,0.53502624866087
"79",1,0.66032221110072
"80",1,0.834247698541731
"81",1,0.963200238184072
"82",1,0.735954860574566
"83",1,0.571307671605609
"84",1,0.772134877508506
"85",1,0.598087325925007
"86",1,0.949290244607255
"87",1,0.694749892340042
"88",1,0.655435389839113
"89",1,0.580014331499115
"90",1,0.948092924780212
"91",1,0.583196890191175
"92",1,0.950212298077531
"93",1,0.567039097542875
"94",1,0.565807067090645
"95",1,0.552643751259893
"96",1,0.755791790550575
"97",1,0.650099526974373
"98",1,0.513358447700739
"99",1,0.654823715682141
"100",1,0.87105982855428
"101",1,0.517728363513015
"102",1,0.78253805602435
"103",1,0.640128888073377
"104",1,0.602098158211447
"105",1,0.566869449336082
"106",1,0.662840962177143
"107",1,0.577530984766781
"108",1,0.564981069765054
"109",1,0.71776552987285
"110",1,0.519321326282807
"111",1,0.856650781468488
"112",1,0.550384520553052
"113",1,0.975152469240129
"114",1,0.560908881365322
"115",1,0.609828310436569
"116",1,0.956543883425184
"117",1,0.972926560556516
"118",1,0.639578111469746
"119",1,0.561735543888062
"120",1,0.898580229724757
"121",1,0.87213860754855
"122",1,0.957987111876719
"123",1,0.997299122507684
"124",1,0.971180357504636
"125",1,0.743067703791894
"126",1,0.64172977139242
"127",1,0.625772850587964
"128",1,0.751627585384995
"129",1,0.74848308658693
"130",1,0.659222904825583
"131",1,0.98111141344998
"132",1,0.817049684119411
"133",1,0.563716699020006
"134",1,0.711523496895097
"135",1,0.957158454810269
"136",1,0.733896166668274
"137",1,0.954084572731517
"138",1,0.798871641862206
"139",1,0.815871407976374
"140",1,0.934579159365967
"141",1,0.751374911284074
"142",1,0.991817557369359
"143",1,0.662193013704382
"144",1,0.740687474259175
"145",1,0.678493538754992
"146",1,0.813738842029124
"147",1,0.870800095261075
"148",1,0.782983408658765
"149",1,0.990393253276125
"150",1,0.788406367762946
"151",1,0.71952102589421
